comparison,family,delta,ci_lo,ci_hi,pct,weeks_favorable,n_weeks,cliffs_delta,p_wilcoxon,p_holm
A1 vs B1,primary,-25.065857142857144,-28.350589285714296,-21.960382142857153,-9.200775658827576,42,42,0.22448979591836735,4.547473508864641e-13,9.094947017729282e-13
A1 vs reABC,primary,-15.466857142857144,-17.19959285714286,-13.703135714285716,-5.677327605735428,42,42,0.15759637188208617,4.547473508864641e-13,9.094947017729282e-13
reABC vs B1,descriptive,-9.599000000000004,-11.569435714285719,-7.694839285714289,-3.5234480530921486,39,42,0.09410430839002268,6.366462912410498e-12,
