week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s
13,4619,92346,2464.158,533.4830049794327,0.20773792266845703,0.6443473458514717,93.30759441975991,168.48440004011132,666.0108641856831,B1_ABC_static,0,7.486343383789062e-05
14,4926,101294,2691.315,546.3489646772229,0.09754705429077148,0.6423791142614568,125.18470437245968,194.1073811407218,771.80139725322,B1_ABC_static,0,0.00017833709716796875
15,4428,87184,2409.71,544.1982836495032,0.08615374565124512,0.6375567764727473,98.88789200409596,189.3903299007498,644.8362653511549,B1_ABC_static,0,1.33514404296875e-05
16,5091,106001,2798.434,549.6825770968376,0.09893035888671875,0.6393970339902454,121.12684958402484,208.93755594477406,803.8383346134067,B1_ABC_static,0,7.3909759521484375e-06
17,5240,99173,2742.974,523.468320610687,0.09516406059265137,0.6325035543948454,102.85221583397107,194.39933874403513,737.5717968608928,B1_ABC_static,0,8.344650268554688e-06
18,4195,84527,2298.953,548.0221692491061,0.07664966583251953,0.6418697575922486,92.90293140753163,175.45059673695224,547.4252076364713,B1_ABC_static,0,7.3909759521484375e-06
19,5148,98986,2756.013,535.3560606060606,0.0935356616973877,0.6283449174630756,109.19017133987283,185.0876744924037,727.2308097689788,B1_ABC_static,0,8.58306884765625e-06
20,4800,94279,2617.782,545.37125,0.08788299560546875,0.6370907094899182,96.66435432699528,162.83284703555572,701.6440666271245,B1_ABC_static,0,8.821487426757812e-06
21,5057,98283,2751.02,544.0023729483884,0.09273982048034668,0.6297292003703591,105.44823960494983,177.876483720561,755.9166142092265,B1_ABC_static,0,9.298324584960938e-06
13,4619,92346,2438.828,527.9991340116909,0.10995364189147949,0.6494439390986074,90.4723002347247,160.16524136700437,663.5151301753592,A1_pool,100,5.000841856002808
14,4926,101294,2656.959,539.3745432399513,0.09116673469543457,0.6478182320769246,114.60951933931975,175.85373585141267,745.760988106486,A1_pool,100,5.251276731491089
15,4428,87184,2348.187,530.3042005420054,0.08435583114624023,0.6501060974490732,86.40437664610069,172.3065662242676,598.7877160817163,A1_pool,100,5.466874599456787
16,5091,106001,2711.358,532.5786682380672,0.09076380729675293,0.6534568070112546,113.85642171449233,177.25995202410607,785.2726896552165,A1_pool,100,5.531307220458984
17,5240,99173,2653.419,506.3776717557252,0.09288573265075684,0.6509279239309086,111.08959722769292,207.74920096468614,780.2013435675643,A1_pool,100,5.525211811065674
18,4195,84527,2216.275,528.3134684147795,0.11799120903015137,0.6624602198114212,86.24129179918354,156.14219313356793,551.8754210467655,A1_pool,99,5.102378845214844
19,5148,98986,2680.144,520.6184926184926,0.09162640571594238,0.6437880104257168,109.74950417466128,185.25907222807297,757.2418910455763,A1_pool,100,5.37700629234314
20,4800,94279,2512.21,523.3770833333333,0.09282326698303223,0.6561050180846212,92.65469892273724,147.43626739794294,698.2075245340269,A1_pool,100,5.069223403930664
21,5057,98283,2683.265,530.6041131105399,0.1077737808227539,0.6446544672018558,104.19734746673834,179.31881452892952,767.5837411493341,A1_pool,100,5.6271374225616455
13,4619,92346,2445.595,529.4641697337086,0.10941457748413086,0.6493843804820999,93.2807851283405,152.22243015247247,655.3237851248173,Exact_assignment_same_state,100,5.2562196254730225
14,4926,101294,2660.101,540.012383272432,0.09118390083312988,0.6481632673208679,112.92537420097322,189.53431850535236,735.0172691313144,Exact_assignment_same_state,100,4.621481895446777
15,4428,87184,2353.055,531.4035682023487,0.08034467697143555,0.6500980684529272,98.88260895040825,215.72418981032135,646.5040114108941,Exact_assignment_same_state,100,9.034510850906372
16,5091,106001,2718.879,534.0559811431939,0.09350299835205078,0.6532412430071415,123.68856182249907,191.86999405922543,831.5246898012525,Exact_assignment_same_state,100,4.548346757888794
17,5240,99173,2649.96,505.7175572519084,0.13042664527893066,0.6499826061528844,93.9635213668644,164.6678375696443,693.3594369329314,Exact_assignment_same_state,100,5.114933729171753
18,4195,84527,2225.617,530.5404052443384,0.11873388290405273,0.6613871898919872,91.95431550052449,168.83577429605182,573.4922150302342,Exact_assignment_same_state,100,45.478392601013184
19,5148,98986,2680.181,520.6256798756799,0.09271550178527832,0.6435192855555331,104.12835634858092,171.1408611291214,734.5632301554668,Exact_assignment_same_state,100,4.909644842147827
20,4800,94279,2511.784,523.2883333333333,0.1127164363861084,0.6561585825051178,91.76016849545724,144.97298402420827,698.6166294734718,Exact_assignment_same_state,100,40.77571439743042
21,5057,98283,2690.784,532.0909630215543,0.10093235969543457,0.6438440523793535,103.46267188690013,174.77249516204543,769.493848560044,Exact_assignment_same_state,100,5.493218421936035
