week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
13,4619,92346,2692.8535999999995,582.9949339683914,0.06032133102416992,0.5003779264938384,153.54297175658263,298.6302391485377,929.2910009165998,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
14,4926,101294,2925.342,593.857490864799,0.0653376579284668,0.4988716014768891,175.37668563237085,275.78559681187323,984.787036922893,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
15,4428,87184,2644.0152000000003,597.1127371273714,0.05824923515319824,0.49265232152688565,166.24118147386568,312.21251884525884,877.1213800838657,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
16,5091,106001,3076.4664,604.2951090159104,0.06739640235900879,0.48816379090763296,182.25764840632465,300.4021930102375,1062.4014501968481,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
17,5240,99173,2998.6192,572.255572519084,0.06975388526916504,0.48284664172708297,179.9138489353933,319.70841428943027,1049.7450800072238,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
18,4195,84527,2500.6944,596.1130870083432,0.056081533432006836,0.49760490730772416,142.05973742147972,263.72380311490775,772.7489883868127,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
19,5148,98986,3023.0279999999993,587.2237762237761,0.06791400909423828,0.47861515769906854,179.41540680873948,305.7758701421116,1021.1365356764798,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
20,4800,94279,2876.2032000000004,599.2090000000001,0.06346988677978516,0.4899760285959758,162.51432863167534,262.39109786297314,957.178596422791,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
21,5057,98283,2981.2472000000002,589.5288115483488,0.07113432884216309,0.48672761311722273,162.5667744323777,267.06120898811906,986.8628041013633,B1,0,0.0,F_1_0.8,blocksxpitch,1|0.8
13,4619,92346,2691.132,582.6222126001298,0.060276031494140625,0.5041366166374288,146.03968603095473,263.18516647241654,912.8999416158242,A1,100,5.5,F_1_0.8,blocksxpitch,1|0.8
14,4926,101294,2939.5096000000003,596.7335769386926,0.06443929672241211,0.5001668410764705,179.91027652215487,292.8584605679954,1013.1505664989928,A1,100,5.08,F_1_0.8,blocksxpitch,1|0.8
15,4428,87184,2624.714,592.7538392050587,0.05773472785949707,0.5006744356762709,167.22194867354366,305.86394345119913,884.1858331791944,A1,100,5.44,F_1_0.8,blocksxpitch,1|0.8
16,5091,106001,3031.5884000000005,595.4799450009822,0.06614923477172852,0.50481174705899,199.0745717294458,320.17017771873844,1099.949405322772,A1,100,5.41,F_1_0.8,blocksxpitch,1|0.8
17,5240,99173,2964.7504,565.7920610687023,0.06824183464050293,0.498479929012937,188.62956305758843,325.7892389945941,1094.244416089371,A1,100,5.27,F_1_0.8,blocksxpitch,1|0.8
18,4195,84527,2490.3915999999995,593.6571156138259,0.06839466094970703,0.5100530008163072,150.71663147929772,282.88874688110116,825.9973059807055,A1,100,7.18,F_1_0.8,blocksxpitch,1|0.8
19,5148,98986,2980.7444,579.0101787101787,0.07481241226196289,0.49288889337886166,173.89874482310245,298.05098778697914,1028.9712633646009,A1,100,8.62,F_1_0.8,blocksxpitch,1|0.8
20,4800,94279,2825.9152,588.7323333333333,0.06301999092102051,0.5079079116240096,161.95724825500355,261.36062855662533,1014.2393643379953,A1,100,5.56,F_1_0.8,blocksxpitch,1|0.8
21,5057,98283,2962.3984,585.8015424164524,0.06643176078796387,0.4964597132769655,176.64532397610571,296.4685508307319,1071.2241243573983,A1,100,5.23,F_1_0.8,blocksxpitch,1|0.8
13,4619,92346,3403.176,736.7776575016237,0.06755685806274414,0.4546932189807896,222.77550319771606,369.6089423712334,1112.394204587203,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
14,4926,101294,3728.064,756.8136419001218,0.06555438041687012,0.4450382056192864,288.7563799496049,468.39313223084054,1320.8510174650662,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
15,4428,87184,3367.218,760.4376693766937,0.08671402931213379,0.4438555239493485,262.20025451683966,470.9186165194602,1092.0999919640528,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
16,5091,106001,3880.896,762.3052445492045,0.06665349006652832,0.44465476740785465,275.09943016653057,471.78912783123525,1274.170658728082,B1,0,0.0,F_1_1.0,blocksxpitch,1|1.0
