week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,w,policy
62,287,7530,252.012,878.0905923344948,0.006138801574707031,0.5891035856573705,19.072759223358425,35.926666666660466,0.31136495173108414,0,62,B1_ABC_static
63,284,7102,238.836,840.9718309859155,0.00560450553894043,0.5754857786539003,18.21225236520103,33.32333333332926,0.13355008417508643,0,63,B1_ABC_static
64,287,7057,230.298,802.432055749129,0.005472898483276367,0.5854151905909026,17.577746533572675,33.25333333333635,0.5057764744786358,0,64,B1_ABC_static
65,334,7759,261.078,781.6706586826348,0.006356716156005859,0.5859227993298105,17.44632087591456,33.31333333333323,3.043408431477918,0,65,B1_ABC_static
66,319,8023,267.546,838.7021943573668,0.0062122344970703125,0.5883553533590926,18.499317088051104,36.366666666665644,1.7502580736927484,0,66,B1_ABC_static
67,351,8320,280.5,799.1452991452992,0.006735324859619141,0.5925661057692307,17.470505755996147,35.87499999999612,1.1746808948002299,0,67,B1_ABC_static
68,312,7399,267.87,858.5576923076923,0.00627899169921875,0.5672557102311123,18.344802687327167,33.15000000000173,0.4318628629903419,0,68,B1_ABC_static
69,353,6886,277.38,785.7790368271955,0.007269144058227539,0.6102599477200116,16.707324203886564,29.986666666666473,2.1169796217562946,0,69,B1_ABC_static
70,266,7355,216.15,812.593984962406,0.005105257034301758,0.5739666893269885,18.697939908204045,35.90000000000382,2.421978037482335,0,70,B1_ABC_static
71,208,4365,155.472,747.4615384615385,0.003891468048095703,0.5954238258877435,16.04253872863227,33.103333333333254,0.3024675925925943,0,71,B1_ABC_static
72,354,6990,247.188,698.271186440678,0.0067827701568603516,0.6129399141630901,15.00424196452355,27.566666666665643,0.44502759068889036,0,72,B1_ABC_static
73,399,8519,301.248,755.0075187969925,0.007619142532348633,0.6205569902570724,17.475025247441327,37.01885739750597,8.85718586934094,0,73,B1_ABC_static
74,427,7554,285.552,668.7400468384075,0.0076220035552978516,0.6275019857029388,14.147209954486714,26.886666666663952,0.3776441760968171,0,74,B1_ABC_static
75,336,6022,222.372,661.8214285714286,0.006189584732055664,0.6292261707074062,14.051367896116725,28.316666666667153,0.1898824404761803,0,75,B1_ABC_static
76,249,5567,180.108,723.3253012048193,0.004628419876098633,0.6273351895096102,16.006711552007655,31.033333333334898,0.9339640519439572,0,76,B1_ABC_static
77,388,7738,288.186,742.7474226804123,0.007432222366333008,0.6046394417162058,16.220290360635932,29.279999999991567,3.3450998876691664,0,77,B1_ABC_static
78,348,6351,234.354,673.4310344827586,0.0063555240631103516,0.6100023618327822,14.313671884746578,29.133333333334498,0.2792969315306517,0,78,B1_ABC_static
79,323,6403,230.484,713.5727554179566,0.0060634613037109375,0.6031899109792285,15.283916547848813,29.759999999999998,0.4689729714729775,0,79,B1_ABC_static
80,270,5399,180.45,668.3333333333334,0.004945039749145508,0.590391739210965,14.518567970397916,26.960000000000218,0.2113336445688199,0,80,B1_ABC_static
81,350,8628,258.894,739.6971428571428,0.00666046142578125,0.5489800649049605,16.55866322751304,29.57333333333311,0.710535493827087,0,81,B1_ABC_static
82,312,7122,230.022,737.25,0.006166219711303711,0.5658101656837967,16.095496031746187,29.09666666667152,0.018246031745996635,0,82,B1_ABC_static
83,347,7699,245.82,708.4149855907781,0.006609678268432617,0.5853844655150019,15.578733552654388,30.2096969696974,0.42756460174015326,0,83,B1_ABC_static
